Rank,Title,Ticker,Industry,Sector,HQ Location,Years on list,CEO,EPS,Employees,Revenues,Profits,Image URL,Website,geoCode
400,Dillard’s,DDS,General Merchandisers,Retailing,"Little Rock, AR",21,William T. Dillard II,7.79,30800,6780,332,https://fortunedotcom.files.wordpress.com/2015/06/dillards.jpg?quality=80&w=462&h=260&crop=1,http://www.dillards.com,AR
401,Level 3 Communications,LVLT,Telecommunications,Telecommunications,"Broomfield, CO",11,Jeffrey K. Storey,1.21,13500,6777,314,https://fortunedotcom.files.wordpress.com/2015/05/level-3-communications.jpg?quality=80&w=462&h=260&crop=1,http://www.level3.com,CO
402,Pantry,,Specialty Retailers: Other,Retailing,"Cary, NC",9,Dennis G. Hatchell,0.57,10591,6765,13,https://fortunedotcom.files.wordpress.com/2015/05/pantry.jpg?quality=80&w=462&h=260&crop=1,http://www.couche-tard.com,NC
403,LKQ,LKQ,Wholesalers: Diversified,Wholesalers,"Chicago, IL",2,Robert L. Wagman,1.25,29500,6740,382,https://fortunedotcom.files.wordpress.com/2015/05/lkq.jpg?quality=80&w=462&h=260&crop=1,http://www.lkqcorp.com,IL
404,Integrys Energy Group,TEG,Utilities: Gas and Electric,Energy,"Chicago, IL",10,Charles A. Schrock,3.43,4524,6731,277,https://fortunedotcom.files.wordpress.com/2015/06/north-pgl-2014_0066.jpeg?quality=80&w=462&h=260&crop=1,http://www.wecenergygroup.com,IL
405,Symantec,SYMC,Computer Software,Technology,"Mountain View, CA",8,Michael A. Brown,1.28,20800,6676,898,https://fortunedotcom.files.wordpress.com/2015/05/symantec.jpg?quality=80&w=462&h=260&crop=1,http://www.symantec.com,CA
406,Buckeye Partners,BPL,Pipelines,Energy,"Houston, TX",2,Clark C. Smith,2.28,1720,6646,273,https://fortunedotcom.files.wordpress.com/2015/06/buckeye-partners.jpg?quality=80&w=462&h=260&crop=1,http://www.buckeye.com,TX
407,Ryder System,R,"Trucking, Truck Leasing",Transportation,"Miami, FL",21,Robert E. Sanchez,4.11,30600,6639,219,https://fortunedotcom.files.wordpress.com/2015/05/ryder-system.jpg?quality=80&w=462&h=260&crop=1,http://www.ryder.com,FL
408,SanDisk,SNDK,Semiconductors and Other Electronic Components,Technology,"Milpitas, CA",5,Sanjay Mehrotra,4.23,8696,6628,1007,https://fortunedotcom.files.wordpress.com/2015/05/sandisk.jpg?quality=80&w=462&h=260&crop=1,http://www.sandisk.com,CA
409,Rockwell Automation,ROK,"Electronics, Electrical Equip.",Industrials,"Milwaukee, WI",21,Keith D. Nosbusch,5.91,22500,6624,827,https://fortunedotcom.files.wordpress.com/2015/05/rockwell.jpg?quality=80&w=462&h=260&crop=1,http://www.rockwellautomation.com,WI
410,Dana Holding,DAN,Motor Vehicles and Parts,Motor Vehicles & Parts,"Maumee, OH",21,James K. Kamsickas,1.84,22600,6617,319,https://fortunedotcom.files.wordpress.com/2015/05/dana-holding-1.jpg?quality=80&w=462&h=260&crop=1,http://www.dana.com,OH
411,Lansing Trade Group,,Wholesalers: Diversified,Wholesalers,"Overland Park, KS",1,William E. Krueger,-,300,6614,58,https://fortunedotcom.files.wordpress.com/2015/05/lansing.jpg?quality=80&w=462&h=260&crop=1,http://www.lansingtradegroup.com,KS
412,NCR,NCR,"Computers, Office Equipment",Technology,"Duluth, GA",18,William R. Nuti,1.12,30200,6591,191,https://fortunedotcom.files.wordpress.com/2015/05/ncr.jpg?quality=80&w=462&h=260&crop=1,http://www.ncr.com,GA
413,Expeditors International of Washington,EXPD,Transportation and Logistics,Transportation,"Seattle, WA",8,Jeffrey S. Musser,1.92,14659,6565,377,https://fortunedotcom.files.wordpress.com/2015/05/expeditors.jpg?quality=80&w=462&h=260&crop=1,http://www.expeditors.com,WA
414,Omnicare,OCR,Health Care: Pharmacy and Other Services,Health Care,"Cincinnati, OH",12,Nitin Sahney,1.36,12089,6551,145,https://fortunedotcom.files.wordpress.com/2015/05/omnicare.jpg?quality=80&w=462&h=260&crop=1,http://www.omnicare.com,OH
415,AK Steel Holding,AKS,Metals,Materials,"West Chester, OH",15,Roger K. Newport,-0.65,8313,6506,-97,https://fortunedotcom.files.wordpress.com/2015/05/ak-steel.jpg?quality=80&w=462&h=260&crop=1,http://www.aksteel.com,OH
416,Fifth Third Bancorp,FITB,Commercial Banks,Financials,"Cincinnati, OH",16,Greg D. Carmichael,1.66,18351,6503,1481,https://fortunedotcom.files.wordpress.com/2015/05/fifth-third.jpg?quality=80&w=462&h=260&crop=1,http://www.53.com,OH
417,Seaboard,SEB,Food Production,"Food, Beverages & Tobacco","Shawnee Mission, KS",5,Steven J. Bresky,309.96,10778,6473,365,https://fortunedotcom.files.wordpress.com/2015/05/seaboard.jpg?quality=80&w=462&h=260&crop=1,http://www.seaboardcorp.com,KS
418,NiSource,NI,Utilities: Gas and Electric,Energy,"Merrillville, IN",17,Joseph Hamrock,1.67,8982,6471,530,https://fortunedotcom.files.wordpress.com/2015/05/nisource.jpg?quality=80&w=462&h=260&crop=1,http://www.nisource.com,IN
419,Cablevision Systems,CVC,Telecommunications,Telecommunications,"Bethpage, NY",17,James L. Dolan,1.15,14312,6461,311,https://fortunedotcom.files.wordpress.com/2015/05/cablevision.jpg?quality=80&w=462&h=260&crop=1,http://www.cablevision.com,NY
420,Anixter International,AXE,Wholesalers: Diversified,Wholesalers,"Glenview, IL",13,Robert J. Eck,5.84,9100,6446,195,https://fortunedotcom.files.wordpress.com/2015/05/anixter-international.jpg?quality=80&w=462&h=260&crop=1,http://www.anixter.com,IL
421,EMCOR Group,EME,"Engineering, Construction",Engineering & Construction,"Norwalk, CT",15,Anthony J. Guzzi,2.52,27000,6444,169,https://fortunedotcom.files.wordpress.com/2015/05/emcor.jpg?quality=80&w=462&h=260&crop=1,http://www.emcorgroup.com,CT
422,Fidelity National Information Services,FIS,Financial Data Services,Business Services,"Jacksonville, FL",6,Gary A. Norcross,2.35,40000,6417,679,https://fortunedotcom.files.wordpress.com/2015/06/422-fidelity-national-info-services.jpg?quality=80&w=462&h=260&crop=1,http://www.fisglobal.com,FL
423,Barnes & Noble,BKS,Specialty Retailers: Other,Retailing,"New York, NY",18,Ronald D. Boire,-1.12,37500,6381,-47,https://fortunedotcom.files.wordpress.com/2015/05/barnes-and-noble.jpg?quality=80&w=462&h=260&crop=1,http://www.barnesandnobleinc.com,NY
424,KBR,KBR,"Engineering, Construction",Engineering & Construction,"Houston, TX",8,Stuart Bradie,-8.66,25000,6366,-1262,https://fortunedotcom.files.wordpress.com/2015/06/kbr.jpg?quality=80&w=462&h=260&crop=1,http://www.kbr.com,TX
425,Auto-Owners Insurance,,Insurance: Property and Casualty (Mutual),Financials,"Lansing, MI",13,Jeffrey F. Harrold,-,4377,6337,564,https://fortunedotcom.files.wordpress.com/2015/05/auto-owners-insurance.jpg?quality=80&w=462&h=260&crop=1,http://www.auto-owners.com,MI
426,Jones Financial,,Securities,Financials,"Des Peres, MO",3,James D. Weddle,-,40000,6333,770,https://fortunedotcom.files.wordpress.com/2015/05/jones-financial1.jpg?quality=80&w=462&h=260&crop=1,http://www.edwardjones.com,MO
427,Avery Dennison,AVY,Chemicals,Chemicals,"Glendale, CA",21,Dean A. Scarborough,2.6,25000,6330,249,https://fortunedotcom.files.wordpress.com/2015/05/avery-dennison.jpg?quality=80&w=462&h=260&crop=1,http://www.averydennison.com,CA
428,NetApp,NTAP,Computer Peripherals,Technology,"Sunnyvale, CA",4,George Kurian,1.83,12490,6325,638,https://fortunedotcom.files.wordpress.com/2015/06/netapp.jpg?quality=80&w=462&h=260&crop=1,http://www.netapp.com,CA
429,iHeartMedia,IHRT,Entertainment,Media,"San Antonio, TX",15,Robert W. Pittman,-9.46,19200,6319,-794,https://fortunedotcom.files.wordpress.com/2015/05/iheartmedia.jpg?quality=80&w=462&h=260&crop=1,http://www.iheartmedia.com,TX
430,Discovery Communications,DISCA,Entertainment,Media,"Silver Spring, MD",2,David M. Zaslav,1.66,6800,6265,1139,https://fortunedotcom.files.wordpress.com/2015/05/discovery-communications.jpg?quality=80&w=462&h=260&crop=1,http://www.discoverycommunications.com,MD
431,Harley-Davidson,HOG,Transportation Equipment,Transportation,"Milwaukee, WI",14,Matthew S. Levatich,3.88,6500,6229,845,https://fortunedotcom.files.wordpress.com/2015/05/harley.jpg?quality=80&w=840&h=485&crop=1,http://www.harley-davidson.com,WI
432,Sanmina,SANM,Semiconductors and Other Electronic Components,Technology,"San Jose, CA",15,Jure Sola,2.27,38417,6215,197,https://fortunedotcom.files.wordpress.com/2015/05/sanmina_settop__casestudy-2.jpg?quality=80&w=840&h=485&crop=1,http://www.sanmina.com,CA
433,Trinity Industries,TRN,Transportation Equipment,Transportation,"Dallas, TX",1,Timothy R. Wallace,4.19,22070,6170,678,https://fortunedotcom.files.wordpress.com/2015/05/trinity-industries.jpg?quality=80&w=462&h=260&crop=1,http://www.trin.net,TX
434,J.B. Hunt Transport Services,JBHT,"Trucking, Truck Leasing",Transportation,"Lowell, AR",3,John N. Roberts III,3.16,20158,6165,375,https://fortunedotcom.files.wordpress.com/2015/05/hunt-j-b-transport-svcs.jpg?quality=80&w=462&h=260&crop=1,http://www.jbhunt.com,AR
435,Charles Schwab,SCHW,Securities,Financials,"San Francisco, CA",17,Walter W. Bettinger II,0.95,14600,6156,1321,https://fortunedotcom.files.wordpress.com/2015/05/schwab.jpg?quality=80&w=462&h=260&crop=1,http://www.aboutschwab.com,CA
436,Erie Insurance Group,,Insurance: Property and Casualty (Stock),Financials,"Erie, PA",12,Terrence W. Cavanaugh,-,4700,6124,168,https://fortunedotcom.files.wordpress.com/2015/05/erie-insurance-group.jpg?quality=80&w=462&h=260&crop=1,http://www.erieinsurance.com,PA
437,Dr Pepper Snapple Group,DPS,Beverages,"Food, Beverages & Tobacco","Plano, TX",7,Larry D. Young,3.56,19000,6121,703,https://fortunedotcom.files.wordpress.com/2015/05/470709452.jpg?quality=80&w=840&h=485&crop=1,http://www.drpeppersnapplegroup.com,TX
438,Ameren,AEE,Utilities: Gas and Electric,Energy,"St. Louis, MO",18,Warner L. Baxter,2.4,8527,6054,586,https://fortunedotcom.files.wordpress.com/2015/05/ameren.jpg?quality=80&w=462&h=260&crop=1,http://www.ameren.com,MO
439,Mattel,MAT,"Toys, Sporting Goods",Household Products,"El Segundo, CA",21,Christopher A. Sinclair,1.45,31000,6024,499,https://fortunedotcom.files.wordpress.com/2015/05/mattel.jpg?quality=80&w=462&h=260&crop=1,http://www.mattel.com,CA
440,Laboratory Corp. of America,LH,Health Care: Pharmacy and Other Services,Health Care,"Burlington, NC",6,David P. King,5.91,36000,6012,511,https://fortunedotcom.files.wordpress.com/2015/06/labcorp.jpg?quality=80&w=462&h=260&crop=1,http://www.labcorp.com,NC
441,TEGNA,TGNA,"Publishing, Printing",Media,"McLean, VA",21,Gracia C. Martore,4.58,31250,6008,1062,https://fortunedotcom.files.wordpress.com/2015/05/453218506.jpg?quality=80&w=840&h=485&crop=1,http://www.tegna.com/,VA
442,Starwood Hotels & Resorts,HOT,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","Stamford, CT",17,Thomas B. Mangas,3.4,180400,5983,633,https://fortunedotcom.files.wordpress.com/2015/05/463851868.jpg?quality=80&w=840&h=485&crop=1,http://www.starwoodhotels.com,CT
443,General Cable,BGC,"Electronics, Electrical Equip.",Industrials,"Highland Heights, KY",7,Michael T. McDonnell,-12.86,13000,5980,-628,https://fortunedotcom.files.wordpress.com/2015/05/general-cable.jpg?quality=80&w=462&h=260&crop=1,http://www.generalcable.com,KY
444,A-Mark Precious Metals,AMRK,zMiscellaneous,Materials,"Santa Monica, CA",1,Gregory N. Roberts,1.09,55,5979,8,https://fortunedotcom.files.wordpress.com/2015/05/amark.jpg?quality=80&w=462&h=260&crop=1,http://www.amark.com,CA
445,Graybar Electric,,Wholesalers: Diversified,Wholesalers,"St. Louis, MO",21,Kathleen M. Mazzarella,5.52,8250,5979,87,https://fortunedotcom.files.wordpress.com/2015/05/graybar1.jpg?quality=80&w=462&h=260&crop=1,http://www.graybar.com,MO
446,Energy Future Holdings,,Energy,Energy,"Dallas, TX",21,John F. Young,-,8920,5978,-6406,https://fortunedotcom.files.wordpress.com/2015/05/energy-future-holdings.jpg?quality=80&w=462&h=260&crop=1,http://www.energyfutureholdings.com,TX
447,HRG Group,HRG,Household and Personal Products,Household Products,"New York, NY",2,Omar Asali,-0.51,14427,5963,-10,https://fortunedotcom.files.wordpress.com/2015/05/hrg-group.jpg?quality=80&w=462&h=260&crop=1,http://www.hrggroup.com,NY
448,MRC Global,MRC,"Oil and Gas Equipment, Services",Energy,"Houston, TX",4,Andrew R. Lane,1.4,4900,5933,144,https://fortunedotcom.files.wordpress.com/2015/05/mrc.jpg?quality=80&w=462&h=260&crop=1,http://www.mrcglobal.com,TX
449,Spectra Energy,SE,Pipelines,Energy,"Houston, TX",8,Gregory L. Ebel,1.61,5900,5903,1082,https://fortunedotcom.files.wordpress.com/2015/05/spectra-energy.jpg?quality=80&w=462&h=260&crop=1,http://www.spectraenergy.com,TX
450,Asbury Automotive Group,ABG,"Automotive Retailing, Services",Retailing,"Duluth, GA",9,Craig T. Monaghan,3.71,8300,5868,112,https://fortunedotcom.files.wordpress.com/2015/05/nalleylexgal-taken-1008.jpg?quality=80&w=840&h=485&crop=1,http://www.asburyauto.com,GA
451,Packaging Corp. of America,PKG,"Packaging, Containers",Materials,"Lake Forest, IL",1,Mark W. Kowlzan,3.99,14000,5853,393,https://fortunedotcom.files.wordpress.com/2015/06/packaging-corp.jpg?quality=80&w=462&h=260&crop=1,http://www.packagingcorp.com,IL
452,Windstream Holdings,WIN,Telecommunications,Telecommunications,"Little Rock, AR",3,Anthony W. Thomas,-0.07,12626,5830,-40,https://fortunedotcom.files.wordpress.com/2015/06/windstream-headquarters-3.jpeg?quality=80&w=462&h=260&crop=1,http://www.windstream.com,AR
453,PulteGroup,PHM,Homebuilders,Engineering & Construction,"Atlanta, GA",13,Richard J. Dugas Jr.,1.26,4149,5822,474,https://fortunedotcom.files.wordpress.com/2015/05/pultegroup.jpg?quality=80&w=462&h=260&crop=1,http://www.pultegroupinc.com,GA
454,JetBlue Airways,JBLU,Airlines,Transportation,"Long Island City, NY",3,Robin Hayes,1.19,13343,5817,401,https://fortunedotcom.files.wordpress.com/2015/05/jetblue.jpg?quality=80&w=462&h=260&crop=1,http://www.jetblue.com,NY
455,Newell Rubbermaid,NWL,"Home Equipment, Furnishings",Household Products,"Atlanta, GA",20,Michael B. Polk,1.35,17400,5810,378,https://fortunedotcom.files.wordpress.com/2015/05/img000881.jpg?quality=80&w=840&h=485&crop=1,http://www.newellrubbermaid.com,GA
456,Con-way,,Transportation and Logistics,Transportation,"Ann Arbor, MI",19,Douglas W. Stotlar,2.36,30100,5806,137,https://fortunedotcom.files.wordpress.com/2015/05/con-way.jpg?quality=80&w=462&h=260&crop=1,http://www.con-way.com,MI
457,Calumet Specialty Products Partners,CLMT,Petroleum Refining,Energy,"Indianapolis, IN",2,Timothy Go,-1.8,2200,5791,-112,https://fortunedotcom.files.wordpress.com/2015/05/calumet1.jpg?quality=80&w=462&h=260&crop=1,http://www.calumetspecialty.com,IN
458,Expedia,EXPE,Internet Services and Retailing,Technology,"Bellevue, WA",1,Dara Khosrowshahi,2.99,18210,5764,398,https://fortunedotcom.files.wordpress.com/2015/05/expedia.jpg?quality=80&w=462&h=260&crop=1,http://www.expediainc.com,WA
459,American Financial Group,AFG,Insurance: Property and Casualty (Stock),Financials,"Cincinnati, OH",16,Carl H. Lindner lll,4.97,7800,5713,452,https://fortunedotcom.files.wordpress.com/2015/05/american-financial-group.jpg?quality=80&w=462&h=260&crop=1,http://www.afginc.com,OH
460,Tractor Supply,TSCO,Specialty Retailers: Other,Retailing,"Brentwood, TN",2,Gregory A. Sandfort,2.66,16050,5712,371,https://fortunedotcom.files.wordpress.com/2015/05/tractor-supply.jpg?quality=80&w=462&h=260&crop=1,http://www.tractorsupply.com,TN
461,United Rentals,URI,Miscellaneous,Business Services,"Stamford, CT",2,Michael J. Kneeland,5.15,12500,5685,540,https://fortunedotcom.files.wordpress.com/2015/05/united-rentals.jpg?quality=80&w=462&h=260&crop=1,http://www.unitedrentals.com,CT
462,Ingredion,INGR,Food Production,"Food, Beverages & Tobacco","Westchester, IL",4,Ilene S. Gordon,4.74,10850,5668,355,https://fortunedotcom.files.wordpress.com/2015/05/ingredion.jpg?quality=80&w=462&h=260&crop=1,http://www.ingredion.com,IL
463,Navient,NAVI,Diversified Financials,Financials,"Wilmington, DE",1,John F. Remondi,2.69,6200,5637,1149,https://fortunedotcom.files.wordpress.com/2015/05/navient.jpg?quality=80&w=462&h=260&crop=1,http://www.navient.com,DE
464,MeadWestvaco,MWV,"Packaging, Containers",Materials,"Richmond, VA",20,John A. Luke Jr.,1.53,15000,5631,263,https://fortunedotcom.files.wordpress.com/2015/05/meadwestvaco.jpg?quality=80&w=462&h=260&crop=1,http://www.mwv.com,VA
465,AGL Resources,GAS,Utilities: Gas and Electric,Energy,"Atlanta, GA",1,Andrew W. Evans,4.04,5165,5628,482,https://fortunedotcom.files.wordpress.com/2015/06/agl-resources.jpg?quality=80&w=462&h=260&crop=1,http://www.aglresources.com,GA
466,St. Jude Medical,STJ,Medical Products and Equipment,Health Care,"St. Paul, MN",6,Michael T. Rousseau,3.46,16000,5622,1002,https://fortunedotcom.files.wordpress.com/2015/05/st-jude.jpg?quality=80&w=462&h=260&crop=1,http://www.sjm.com,MN
467,J.M. Smucker,SJM,Food Consumer Products,"Food, Beverages & Tobacco","Orrville, OH",5,Richard K. Smucker,5.42,4775,5611,565,https://fortunedotcom.files.wordpress.com/2015/05/smucker-j-m.jpg?quality=80&w=462&h=260&crop=1,http://www.jmsmucker.com,OH
468,Western Union,WU,Financial Data Services,Business Services,"Englewood, CO",9,Hikmet Ersek,1.59,10000,5607,852,https://fortunedotcom.files.wordpress.com/2015/05/western-union.jpg?quality=80&w=462&h=260&crop=1,http://www.westernunion.com,CO
469,Clorox,CLX,Household and Personal Products,Household Products,"Oakland, CA",16,Benno O. Dorer,4.23,8200,5591,558,https://fortunedotcom.files.wordpress.com/2015/05/clorox.jpg?quality=80&w=462&h=260&crop=1,http://www.thecloroxcompany.com,CA
470,Domtar,UFS,Forest and Paper Products,Materials,"Fort Mill, SC",7,John D. Williams,6.64,9800,5563,431,https://fortunedotcom.files.wordpress.com/2015/05/hawesville_pulp_machine_69_web_gallery.jpg?quality=80&w=840&h=485&crop=1,http://www.domtar.com,SC
471,Kelly Services,KELYA,Temporary Help,Business Services,"Troy, MI",21,Carl T. Camden,0.61,8300,5563,24,https://fortunedotcom.files.wordpress.com/2015/05/kelly-services.jpg?quality=80&w=462&h=260&crop=1,http://www.kellyservices.com,MI
472,Old Republic International,ORI,Insurance: Property and Casualty (Stock),Financials,"Chicago, IL",4,Aldo C. Zucaro,1.44,8000,5531,410,https://fortunedotcom.files.wordpress.com/2015/06/oldrepublic.jpg?quality=80&w=840&h=485&crop=1,http://www.oldrepublic.com,IL
473,Advanced Micro Devices,AMD,Semiconductors and Other Electronic Components,Technology,"Sunnyvale, CA",15,Lisa T. Su,-0.53,9687,5506,-403,https://fortunedotcom.files.wordpress.com/2015/05/advanced-micro-devices1.jpg?quality=80&w=462&h=260&crop=1,http://www.amd.com,CA
474,Netflix,NFLX,Specialty Retailers: Other,Retailing,"Los Gatos, CA",1,Reed Hastings,4.32,2320,5505,267,https://fortunedotcom.files.wordpress.com/2015/05/mv5bmzc4mte4mje4nf5bml5banbnxkftztgwmjg5ote2nde-_v1__1.jpg?quality=80&w=840&h=485&crop=1,http://www.netflix.com,CA
475,Booz Allen Hamilton Holding,BAH,Information Technology Services,Technology,"McLean, VA",5,Horacio D. Rozanski,1.54,22700,5479,232,https://fortunedotcom.files.wordpress.com/2015/06/booz-allen.jpg?quality=80&w=462&h=260&crop=1,http://www.boozallen.com,VA
476,Quintiles Transnational Holdings,Q,Health Care: Pharmacy and Other Services,Health Care,"Durham, NC",2,Thomas H. Pike,2.72,32600,5460,356,https://fortunedotcom.files.wordpress.com/2015/05/quintiles.jpg?quality=80&w=462&h=260&crop=1,http://www.quintiles.com,NC
477,Wynn Resorts,WYNN,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","Las Vegas, NV",4,Stephen A. Wynn,7.18,16800,5434,732,https://fortunedotcom.files.wordpress.com/2015/06/wynn-resorts.jpg?quality=80&w=462&h=260&crop=1,http://www.wynnresorts.com,NV
478,Jones Lang LaSalle,JLL,Real estate,Financials,"Chicago, IL",1,Colin Dyer,8.52,58100,5430,386,https://fortunedotcom.files.wordpress.com/2015/05/jones-lasalle.jpg?quality=80&w=462&h=260&crop=1,http://www.jll.com,IL
479,Regions Financial,RF,Commercial Banks,Financials,"Birmingham, AL",17,O.B. Grayson Hall Jr.,0.8,23723,5428,1155,https://fortunedotcom.files.wordpress.com/2015/05/regions-financial.jpg?quality=80&w=462&h=260&crop=1,http://www.regions.com,AL
480,CH2M Hill,,"Engineering, Construction",Engineering & Construction,"Englewood, CO",7,Jacqueline C. Hinman,-6.42,25000,5414,-182,https://fortunedotcom.files.wordpress.com/2015/05/130430143555-ch2m-hill-best-companies.jpg?quality=80&w=840&h=485&crop=1,http://www.ch2m.com,CO
481,Western & Southern Financial Group,,"Insurance: Life, Health (Mutual)",Financials,"Cincinnati, OH",11,John F. Barrett,-,2146,5404,790,https://fortunedotcom.files.wordpress.com/2015/06/western-southern-financial.jpg?quality=80&w=462&h=260&crop=1,http://www.westernsouthern.com,OH
482,Lithia Motors,LAD,"Automotive Retailing, Services",Retailing,"Medford, OR",1,Bryan B. DeBoer,5.26,8827,5403,139,https://fortunedotcom.files.wordpress.com/2015/06/lithia-motors.jpg?quality=80&w=462&h=260&crop=1,http://www.lithia.com,OR
483,salesforce.com,CRM,Computer Software,Technology,"San Francisco, CA",1,Marc R. Benioff,-0.42,16200,5374,-263,https://fortunedotcom.files.wordpress.com/2015/05/salesforce-com1.jpg?quality=80&w=462&h=260&crop=1,http://www.salesforce.com,CA
484,Alaska Air Group,ALK,Airlines,Transportation,"Seattle, WA",2,Bradley D. Tilden,4.42,13952,5368,605,https://fortunedotcom.files.wordpress.com/2015/05/alaska-air-group1.jpg?quality=80&w=462&h=260&crop=1,http://www.alaskaair.com,WA
485,Host Hotels & Resorts,HST,Real estate,Financials,"Bethesda, MD",14,W. Edward Walter,0.96,251,5354,732,https://fortunedotcom.files.wordpress.com/2015/05/host-hotels.jpg?quality=80&w=462&h=260&crop=1,http://www.hosthotels.com,MD
486,Harman International Industries,HAR,"Electronics, Electrical Equip.",Industrials,"Stamford, CT",1,Dinesh C. Paliwal,3.36,14202,5349,235,https://fortunedotcom.files.wordpress.com/2015/05/harman-intl-industries.jpg?quality=80&w=462&h=260&crop=1,http://www.harman.com,CT
487,Amphenol,APH,Network and Other Communications Equipment,Technology,"Wallingford, CT",1,R. Adam Norwitt,2.21,50700,5346,709,https://fortunedotcom.files.wordpress.com/2015/06/500s_iso.jpg?quality=80&w=840&h=485&crop=1,http://www.amphenol.com,CT
488,Realogy Holdings,RLGY,Real estate,Financials,"Madison, NJ",5,Richard A. Smith,0.97,10700,5328,143,https://fortunedotcom.files.wordpress.com/2015/05/realogy-holdings.jpg?quality=80&w=462&h=260&crop=1,http://www.realogy.com,NJ
489,Essendant,USTR,Wholesalers: Electronics and Office Equipment,Wholesalers,"Deerfield, IL",17,Robert B. Aiken Jr.,3.05,6500,5327,119,https://fortunedotcom.files.wordpress.com/2015/06/fda_2102.jpg?quality=80&w=840&h=485&crop=1,http://www.essendant.com,IL
490,Hanesbrands,HBI,Apparel,Apparel,"Winston-Salem, NC",1,Richard A. Noll,0.99,59500,5325,405,https://fortunedotcom.files.wordpress.com/2015/05/hanes-brands.jpg?quality=80&w=462&h=260&crop=1,http://www.hanes.com,NC
491,Kindred Healthcare,KND,Health Care: Medical Facilities,Health Care,"Louisville, KY",12,Benjamin A. Breier,-1.36,50100,5325,-80,https://fortunedotcom.files.wordpress.com/2015/05/kindred-healthcare.png?w=462&h=260&crop=1,http://www.kindredhealthcare.com,KY
492,ARRIS Group,ARRS,Network and Other Communications Equipment,Technology,"Suwanee, GA",1,Robert J. Stanzione,2.21,6660,5323,327,https://fortunedotcom.files.wordpress.com/2015/05/arris.jpg?quality=80&w=462&h=260&crop=1,http://www.arris.com,GA
493,Insight Enterprises,NSIT,Wholesalers: Electronics and Office Equipment,Wholesalers,"Tempe, AZ",7,Kenneth T. Lamneck,1.83,5406,5316,76,https://fortunedotcom.files.wordpress.com/2015/05/insight-enterprises.jpg?quality=80&w=462&h=260&crop=1,http://www.insight.com,AZ
494,Alliance Data Systems,ADS,Financial Data Services,Business Services,"Plano, TX",1,Edward J. Heffernan,7.87,15000,5303,506,https://fortunedotcom.files.wordpress.com/2015/06/westerville2015-779.jpeg?quality=80&w=462&h=260&crop=1,http://www.alliancedata.com,TX
495,LifePoint Health,LPNT,Health Care: Medical Facilities,Health Care,"Brentwood, TN",1,William F. Carpenter III,2.69,38000,5301,126,https://fortunedotcom.files.wordpress.com/2015/05/lifepoint-hospitals.jpg?quality=80&w=462&h=260&crop=1,http://www.lifepointhealth.net,TN
496,Pioneer Natural Resources,PXD,"Mining, Crude-Oil Production",Energy,"Irving, TX",1,Scott D. Sheffield,6.38,4075,5293,930,https://fortunedotcom.files.wordpress.com/2015/05/pioneer-natural-resources.jpg?quality=80&w=462&h=260&crop=1,http://www.pxd.com,TX
497,Wyndham Worldwide,WYN,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","Parsippany, NJ",2,Stephen P. Holmes,4.18,34400,5281,529,https://fortunedotcom.files.wordpress.com/2015/05/wyndham-worldwide.jpg?quality=80&w=462&h=260&crop=1,http://www.wyndhamworldwide.com,NJ
498,Owens Corning,OC,"Building Materials, Glass",Materials,"Toledo, OH",21,Michael H. Thaman,1.91,14000,5276,226,https://fortunedotcom.files.wordpress.com/2015/05/owens-corning.jpg?quality=80&w=462&h=260&crop=1,http://www.owenscorning.com,OH
499,Alleghany,Y,Insurance: Property and Casualty (Stock),Financials,"New York, NY",2,Weston M. Hicks,41.4,2067,5232,679,,http://www.alleghany.com,NY
500,McGraw Hill Financial,MHFI,Financial Data Services,Business Services,"New York, NY",21,Douglas L. Peterson,-0.42,17000,5190,-115,https://fortunedotcom.files.wordpress.com/2015/06/500-mcgraw2.jpg?quality=80&w=462&h=260&crop=1,http://www.mhfi.com,NY
501,Big Lots,BIG,Specialty Retailers: Other,Retailing,"Columbus, OH",-,David J. Campisi,2.06,24200,5177,114,,http://www.biglots.com,OH
502,Northern Tier Energy,NTI,Petroleum Refining,Energy,"Tempe, AZ",-,David L. Lamp,2.61,2950,5160,242,,http://www.ntenergy.com,AZ
503,Hexion,,Chemicals,Chemicals,"Columbus, OH",-,Craig O. Morrison,-,5200,5137,-148,,http://www.hexion.com,OH
504,Markel,MKL,Insurance: Property and Casualty (Stock),Financials,"Glen Allen, VA",-,"Thomas S. Gayner and Richard R. Whitt, II",22.27,8600,5134,321,,http://www.markelcorp.com,VA
505,Noble Energy,NBL,"Mining, Crude-Oil Production",Energy,"Houston, TX",-,David L. Stover,3.27,2735,5101,1214,,http://www.nobleenergyinc.com,TX
506,Leidos Holdings,LDOS,Information Technology Services,Technology,"Reston, VA",-,Roger A. Krone,-4.36,19000,5092,-323,,http://www.leidos.com,VA
507,Rockwell Collins,COL,Aerospace and Defense,Aerospace & Defense,"Cedar Rapids, IA",-,Robert K. Ortberg,4.42,20000,5073,604,,http://www.rockwellcollins.com,IA
508,Airgas,ARG,Wholesalers: Diversified,Wholesalers,"Radnor, PA",-,Michael L. Molinini,4.68,16000,5073,351,,http://www.airgas.com,PA
