Rank,Title,Ticker,Industry,Sector,HQ Location,Years on list,CEO,EPS,Employees,Revenues,Profits,Image URL,Website,geoCode
103,TJX,TJX,Specialty Retailers: Apparel,Retailing,"Framingham, MA",21,Carol M. Meyrowitz,3.15,198000,29078,2215,https://fortunedotcom.files.wordpress.com/2015/05/tjx.jpg?quality=80&w=462&h=260&crop=1,http://www.tjx.com,MA
104,Time Warner,TWX,Entertainment,Media,"New York, NY",16,Jeffrey L. Bewkes,4.34,25600,28774,3827,https://fortunedotcom.files.wordpress.com/2015/05/mv5bmtk0mtuwmjyxnl5bml5banbnxkftztgwntuynti1mte-_v1__.jpg?quality=80&w=840&h=485&crop=1,http://www.timewarner.com,NY
105,Macy’s,M,General Merchandisers,Retailing,"Cincinnati, OH",21,Terry J. Lundgren,4.22,166900,28105,1526,https://fortunedotcom.files.wordpress.com/2015/06/macys.jpg?quality=80&w=462&h=260&crop=1,http://www.macysinc.com,OH
106,Nike,NKE,Apparel,Apparel,"Beaverton, OR",21,Mark G. Parker,2.97,56500,27799,2693,https://fortunedotcom.files.wordpress.com/2015/05/nike.jpg?quality=80&w=462&h=263&crop=1,http://www.nike.com,OR
107,Tech Data,TECD,Wholesalers: Electronics and Office Equipment,Wholesalers,"Clearwater, FL",21,Robert M. Dutkowsky,4.57,8900,27671,175,https://fortunedotcom.files.wordpress.com/2015/05/tech-data.jpg?quality=80&w=462&h=263&crop=1,http://www.techdata.com,FL
108,Avnet,AVT,Wholesalers: Electronics and Office Equipment,Wholesalers,"Phoenix, AZ",21,Richard Hamada,3.89,19000,27500,546,https://fortunedotcom.files.wordpress.com/2015/05/avnet.jpg?quality=80&w=840&h=485&crop=1,http://www.avnet.com,AZ
109,Northwestern Mutual,NORTHWESTERN-MUTUAL,"Insurance: Life, Health (Mutual)",Financials,"Milwaukee, WI",21,John E. Schlifske,-,5187,27465,679,https://fortunedotcom.files.wordpress.com/2015/05/northwesten-mutual.jpg?quality=80&w=462&h=263&crop=1,http://www.northwesternmutual.com,WI
110,McDonald’s,MCD,Food Services,"Hotels, Resturants & Leisure","Oak Brook, IL",21,Steve J. Easterbrook,4.82,420000,27441,4758,https://fortunedotcom.files.wordpress.com/2015/05/mcdonalds.jpg?quality=80&w=462&h=260&crop=1,http://www.aboutmcdonalds.com,IL
111,Exelon,EXC,Utilities: Gas and Electric,Energy,"Chicago, IL",21,Christopher M. Crane,1.88,28993,27429,1623,https://fortunedotcom.files.wordpress.com/2015/05/exelon.jpg?quality=80&w=462&h=263&crop=1,http://www.exeloncorp.com,IL
112,Travelers Cos.,TRV,Insurance: Property and Casualty (Stock),Financials,"New York, NY",21,Alan D. Schnitzer,10.7,30200,27162,3692,https://fortunedotcom.files.wordpress.com/2015/05/travelers.jpg?quality=80&w=462&h=263&crop=1,http://www.travelers.com,NY
113,Qualcomm,QCOM,Network and Other Communications Equipment,Technology,"San Diego, CA",16,Steven M. Mollenkopf,4.65,31300,26487,7967,https://fortunedotcom.files.wordpress.com/2015/06/qualcomm.png?w=462&h=263&crop=1,http://www.qualcomm.com,CA
114,International Paper,IP,"Packaging, Containers",Materials,"Memphis, TN",21,Mark S. Sutton,1.29,58000,26221,555,https://fortunedotcom.files.wordpress.com/2015/06/international-paper.jpg?quality=80&w=462&h=263&crop=1,http://www.internationalpaper.com,TN
115,Occidental Petroleum,OXY,"Mining, Crude-Oil Production",Energy,"Houston, TX",21,Stephen I. Chazen,0.79,11700,25898,616,https://fortunedotcom.files.wordpress.com/2015/06/occidental-patroleum.jpg?quality=80&w=462&h=263&crop=1,http://www.oxy.com,TX
116,Duke Energy,DUK,Utilities: Gas and Electric,Energy,"Charlotte, NC",21,Lynn J. Good,2.66,28344,25673,1883,https://fortunedotcom.files.wordpress.com/2015/05/duke-energy.jpg?quality=80&w=462&h=260&crop=1,http://www.duke-energy.com,NC
117,Rite Aid,RAD,Food and Drug Stores,Food & Drug Stores,"Camp Hill, PA",21,John T. Standley,0.23,69420,25526,249,https://fortunedotcom.files.wordpress.com/2015/05/rite-aid.jpg?quality=80&w=462&h=260&crop=1,http://www.riteaid.com,PA
118,Gilead Sciences,GILD,Pharmaceuticals,Health Care,"Foster City, CA",7,John C. Martin,7.35,7000,24890,12101,https://fortunedotcom.files.wordpress.com/2015/06/gilead.jpg?quality=80&w=462&h=263&crop=1,http://www.gilead.com,CA
119,Baker Hughes,BHI,"Oil and Gas Equipment, Services",Energy,"Houston, TX",21,Martin S. Craighead,3.92,62000,24551,1719,https://fortunedotcom.files.wordpress.com/2015/06/baker-hughes.jpg?quality=80&w=462&h=260&crop=1,http://www.bakerhughes.com,TX
120,Emerson Electric,EMR,"Electronics, Electrical Equip.",Industrials,"St. Louis, MO",21,David N. Farr,3.03,115100,24537,2147,https://fortunedotcom.files.wordpress.com/2015/06/emerson-electric.jpg?quality=80&w=462&h=263&crop=1,http://www.emerson.com,MO
121,EMC,EMC,Computer Peripherals,Technology,"Hopkinton, MA",18,Joseph M. Tucci,1.32,70000,24440,2714,https://fortunedotcom.files.wordpress.com/2015/05/rsa-handheld-92.jpg?quality=80&w=840&h=485&crop=1,http://www.emc.com,MA
122,USAA,,Insurance: Property and Casualty (Stock),Financials,"San Antonio, TX",21,Stuart Parker,-,27635,24033,3410,https://fortunedotcom.files.wordpress.com/2015/06/united-services.jpg?quality=80&w=462&h=260&crop=1,http://www.usaa.com,TX
123,Union Pacific,UNP,Railroads,Transportation,"Omaha, NE",21,Lance M. Fritz,5.75,47201,23988,5180,https://fortunedotcom.files.wordpress.com/2015/06/pac06-15_a.jpg?quality=80&w=840&h=485&crop=1,http://www.up.com,NE
124,Northrop Grumman,NOC,Aerospace and Defense,Aerospace & Defense,"Falls Church, VA",21,Wesley G. Bush,9.75,64300,23979,2069,https://fortunedotcom.files.wordpress.com/2015/06/grunman.jpg?quality=80&w=462&h=263&crop=1,http://www.northropgrumman.com,VA
